"","Site","Transect","Depth_m","Habitat","Aspect_descriptive","cropper","browser","detritivore","excavator","scraper"
"25","BOUG-02","T14",45,"outer_slope","moderate_slope",0.394686830602343,0,0,0,0
"26","BOUG-02","T15",44.9,"outer_slope","wall",0.125396229611314,0,0,0,0
"27","BOUG-02","T16",37.2,"outer_slope","wall",0,0,0,0,0
"28","BOUG-02","T17",35.1,"outer_slope","wall",0,0,0,0,0
"29","BOUG-02","T18",33.1,"outer_slope","wall",0,0,0,0,0.258901017767417
"30","BOUG-02","T19",32.5,"outer_slope","steep_slope",0.437332145654987,0,0.121046405953587,0,6.78923005459136
"31","BOUG-02","T2",67.1,"outer_slope","steep_slope",0.257682155757259,0,0,7.36112329161266,0
"32","BOUG-02","T20",31.1,"outer_slope","moderate_slope",0.307409417196964,0,0.118707188256175,7.65136459681358,4.64856479368574
"33","BOUG-02","T21",28.4,"outer_slope","wall",0.171943365179365,0,0.0837288893526342,5.21830082656954,0
"34","BOUG-02","T22",27.3,"outer_slope","wall",0.151830539770437,0,0.1105832832159,0,1.49871144698272
"35","BOUG-02","T23",24.8,"outer_slope","steep_slope",0.0890587809743137,0,0.0618581223935215,3.67092726319299,0
"36","BOUG-02","T24",24.2,"outer_slope","wall",0.322051425439928,0,0,0,0
"37","BOUG-02","T25",22.3,"outer_slope","steep_slope",1.40524648459739,0.357757739582207,0,2.37498217166665,2.57025503812378
"38","BOUG-02","T26",15.4,"outer_slope","moderate_slope",0.198788688449255,0,0,1.86063296748491,0
"39","BOUG-02","T27",13.4,"outer_slope","steep_slope",0.178808566689898,1.04340266997363,0.25710813844149,0,6.56713263172916
"40","BOUG-02","T28",9.8,"outer_slope","steep_slope",0.237196591055657,0,0,0,1.7185039088012
"41","BOUG-02","T3",64.5,"outer_slope","steep_slope",0,0,0,1.27169928358529,2.94450735006269
"42","BOUG-02","T4",63.8,"outer_slope","steep_slope",0,0,0,0,0
"43","BOUG-02","T5",63,"outer_slope","wall",0,0,0.127325555945208,0,0
"44","BOUG-02","T6",58.4,"outer_slope","moderate_slope",0.0143126661776469,0,0,0,0
"45","BOUG-02","T7",57.7,"outer_slope","moderate_slope",0.0220816061853593,0,0,0,0
"46","BOUG-02","T8",55.3,"outer_slope","moderate_slope",0.747357465998704,0.40039326685488,0.329069133265333,5.00181936164426,5.75184735826877
"47","BOUG-02","T9",53.6,"outer_slope","moderate_slope",0.1206138303995,0,0,0.349877005385192,0
"48","CHIL-01","T1",36.5,"lagoon","flat",0,0,0,0,0
"49","FLIN-01","T1",35.6,"outer_slope","steep_slope",0.732796719342152,1.41558348534055,0.139528952812418,0,0
"50","FLIN-01","T2",37.1,"outer_slope","wall",0,0,0.116953749006937,0.844068927441801,0.687620609862917
"51","FLIN-01","T3",42.1,"outer_slope","wall",0.115151154363667,0,0,0,0
"52","FLIN-01","T4",35.2,"outer_slope","wall",0.150692456159586,0,0.0872132440149168,0,0
"53","FLIN-01","T5",45.4,"outer_slope","wall",0,0,0,0,0
"54","FLIN-01","T6",34.3,"outer_slope","steep_slope",0.0823522343696877,0,0,0,0
"55","FLIN-01","T7",45.2,"outer_slope","wall",0,0,0,4.60985265129969,0
"56","FLIN-02","T1",42.1,"lagoon","flat",0,0,0,0,0
"57","FLIN-02","T2",40.2,"lagoon","flat",0,0,0,0,0
"58","FLIN-02","T3",40,"lagoon","flat",0,0,0,0,0
"59","FLIN-02","T4",40,"lagoon","flat",0,0,0.0554560204735062,0,0
"60","FLIN-02","T5",41.5,"lagoon","flat",0.0498070659665222,0,0,0,0
"61","FLIN-02","T6",43.3,"lagoon","flat",4.93317918690314,0,0,0,0
"62","FLIN-02","T7",44,"lagoon","flat",0.112664078641074,0,0,0.211882790808785,0
"63","FRED-01","T1",34.8,"inner_reef","gentle_slope",0.623580541947135,0,0.140414190451389,0,0
"64","FRED-01","T2",40,"inner_reef","flat",0,0,0,0,0
"65","HERA-01","T1",34.3,"passage","flat",0,0,0,0,0
"66","HERA-01","T2",35.3,"passage","flat",0,0,0.670425741684008,0,0
"67","HERA-01","T3",37.6,"passage","flat",0,0,0,0,0
"68","HERA-01","T4",43.5,"passage","gentle_slope",0.487445011392136,0,0.0885181091853372,0,0
"69","HERA-01","T5",43.8,"passage","gentle_slope",0.421991596154583,0,0.0303102753734266,0,0.11836566433512
"70","HERA-01","T6",41.7,"passage","gentle_slope",1.54407687375099,1.89595321225865,0.215969521063347,0,0
"71","HERA-01","T7",40.5,"passage","gentle_slope",0.694458363686941,0.707480015126891,0.757412343110168,0,1.45702024623527
"72","HERA-01","T8",40.4,"passage","gentle_slope",3.4675196782279,0,0.183769678708711,0.97618437656556,0.773116389139107
"73","HERA-01","T9",37.1,"passage","gentle_slope",6.97539625808329,3.27418343732024,1.47268521803294,0,1.4933084307639
"74","HERM-01","T1",46.2,"lagoon","flat",2.3981529738193,0,0.162188744926849,0,3.91916814102018
"75","HERM-01","T2",46.6,"lagoon","flat",0.648505243429968,0,0,0,0.231433500800916
"76","HERM-01","T4",47.1,"lagoon","flat",0.0264919121968934,0,0,0,0
"77","HERM-01","T5",46.4,"lagoon","flat",2.41677846823558,0,0,0,0
"78","HERM-01","T7",47.7,"lagoon","flat",1.19821897427475,0,0.10734581346813,0,0
"79","HERM-01","T8",47.9,"lagoon","flat",1.40543383951985,0,0,0,2.59448376662767
"80","HERM-01","T9",48.9,"lagoon","flat",0,0,0,0,0
"81","HOLM-01","T1",55,"outer_slope","steep_slope",0.156543743618683,0,0,0,0
"82","HOLM-01","T10",34.7,"outer_slope","gentle_slope",0.0600168582736776,0,0.0604662228995767,0,0
"83","HOLM-01","T2",51,"outer_slope","steep_slope",0.452689352375957,0,0.0327073419512955,1.30864709944489,0
"84","HOLM-01","T3",52.4,"outer_slope","steep_slope",0.0516417909900279,0,0,0,0
"85","HOLM-01","T4",55,"outer_slope","steep_slope",0.033915823612254,0,0,0,0
"86","HOLM-01","T5",46.4,"outer_slope","moderate_slope",0.848673872708791,0,0,0,0
"87","HOLM-01","T6",42.5,"outer_slope","moderate_slope",0.306617070641938,0,0.109150121385144,0,0
"88","HOLM-01","T7",43,"outer_slope","moderate_slope",0.042433190309023,0,0,0,0
"89","HOLM-01","T8",36.8,"outer_slope","moderate_slope",0.0610336736588962,0,0.0513911755658953,12.910327337641,1.00419961650681
"90","HOLM-01","T9",36,"outer_slope","moderate_slope",0.353547759028069,0,0.628973585940887,0,0
"91","HOLM-02","T1",62.7,"outer_slope","steep_slope",0.108923962033466,0,0,0,0
"92","HOLM-02","T10",37,"outer_slope","gentle_slope",0.723989083794431,0,0.189990670587138,0,0.357576058461902
"93","HOLM-02","T11",35,"outer_slope","gentle_slope",8.78758542476022,0.786793462131698,0.141363826256889,0,0.273813235747524
"94","HOLM-02","T12",31.2,"outer_slope","gentle_slope",2.53184878731756,0,0.136412890052909,0,0.637349476474459
"95","HOLM-02","T13",28,"outer_slope","gentle_slope",1.12917237471175,0,1.13831833705506,0,0.832081269946049
"96","HOLM-02","T2",63.7,"outer_slope","steep_slope",0.408853666982107,0,0,0,0
"97","HOLM-02","T3",64.2,"outer_slope","steep_slope",0,0,0,0,0
"98","HOLM-02","T4",63.2,"outer_slope","steep_slope",0.0834092725273215,0.894953568128912,0,0,0
"99","HOLM-02","T5",63.1,"outer_slope","steep_slope",0,0,0,0,0
"100","HOLM-02","T6",56.6,"outer_slope","steep_slope",0.355033098358064,0,0,0,0
"101","HOLM-02","T7",54.5,"outer_slope","steep_slope",2.11767515435636,0,0,0,0
"102","HOLM-02","T8",46.6,"outer_slope","wall",0,0,0,0,0
"103","HOLM-02","T9",45,"outer_slope","wall",0.142829336463185,0,0,0,0
"104","KENN-01","T1",40.8,"outer_slope","steep_slope",0.403807603775131,1.60071560344504,0.488281733776473,0,1.05403709670636
"105","KENN-01","T2",31.1,"outer_slope","steep_slope",0.697487342821366,0,0.235274057197993,0.57179644317835,1.12999659506822
"106","KENN-01","T3",31.4,"outer_slope","gentle_slope",3.3535079330744,6.57527160695225,0.430198272262806,4.28113213807634,2.60399964902105
"107","KENN-01","T4",32.3,"outer_slope","gentle_slope",0.59968789231344,0,0,0,0
"108","LORN-01","T1",45.1,"outer_slope","flat",0.700486635999493,0,0.49736946446789,0,0.952494782841456
"109","LORN-01","T10",50.1,"outer_slope","steep_slope",0,0,0,0,0
"110","LORN-01","T11",50.1,"outer_slope","steep_slope",0,0,0,0,0
"111","LORN-01","T12",55.6,"outer_slope","steep_slope",0,0,0,0,0.256806181599603
"112","LORN-01","T13",55.2,"outer_slope","steep_slope",0,0,0.402133874407231,0,0.619522531906232
"113","LORN-01","T2",31.2,"outer_slope","flat",0,0,0,0,0
"114","LORN-01","T3",30.8,"outer_slope","flat",0,0,0,0,0
"115","LORN-01","T4",33,"outer_slope","flat",0,0,0,0,0
"116","LORN-01","T5",31.7,"outer_slope","flat",0.0346963353255065,0,0,0,0
"117","LORN-01","T6",32.5,"outer_slope","flat",0.270355199488452,0,0.135381691659435,0,0.296721851963723
"118","LORN-01","T7",36.5,"outer_slope","flat",0.816071517163671,0,0,0,0
"119","LORN-01","T8",40,"outer_slope","gentle_slope",2.26135253361465,1.04660901805803,0.30241484754864,0,0
"120","LORN-01","T9",44.8,"outer_slope","gentle_slope",2.15471018669997,0,0.124120777711496,0,0
"121","MARI-01","T1",33.9,"lagoon","flat",0.0998672827252601,0,0.449683355873729,0,0.48358498575538
"122","MARI-01","T3",34.7,"lagoon","flat",0,0,0,0,0
"123","MARI-01","T5",34.9,"lagoon","flat",0,0,0,0,0
"124","MARI-01","T6",35,"lagoon","flat",0.13692991899916,0,0.257202102498616,0,0.543660286819802
"125","MARI-01","T7",34.9,"lagoon","flat",0,0,0,0,0
"126","MARI-01","T8",35.1,"lagoon","flat",0,0,0,0,0
"127","OSPR-01","T1",87.6,"outer_slope","wall",0,0,0,0,0
"128","OSPR-01","T1",94,"outer_slope","wall",0,0,0,0,0
"129","OSPR-01","T10",56.2,"outer_slope","wall",0,0,0,0,0
"130","OSPR-01","T10",90.4,"outer_slope","steep_slope",0,0,0,0,0
"131","OSPR-01","T11",47.3,"outer_slope","wall",0,0,0,0,0
"132","OSPR-01","T11",93.9,"outer_slope","wall",0,0,0,0,0
"133","OSPR-01","T12",44.7,"outer_slope","wall",0.0136175670467899,0,0,0,0
"134","OSPR-01","T13",43.2,"outer_slope","wall",0,0,0,0,0
"135","OSPR-01","T13",77,"outer_slope","steep_slope",0,0,0,0,0
"136","OSPR-01","T14",55,"outer_slope","steep_slope",0.490034716277486,0,0,0.0519997249156413,0
"137","OSPR-01","T14",70.9,"outer_slope","steep_slope",0,0,0,0,0
"138","OSPR-01","T15",52.4,"outer_slope","steep_slope",0.0541933602631763,0,0,1.60999394598541,0.321969527238908
"139","OSPR-01","T15",70.2,"outer_slope","steep_slope",0,0,0,0,0
"140","OSPR-01","T16",38.2,"outer_slope","wall",0.181538400138144,0,0,0,0.380912679441037
"141","OSPR-01","T16",66.2,"outer_slope","steep_slope",0.230186382832285,0,0,0,0
"142","OSPR-01","T17",35.3,"outer_slope","steep_slope",0.290770076470799,0.898496172805912,0.0397725742790147,0,0.528635095382916
"143","OSPR-01","T17",64.6,"outer_slope","steep_slope",0,0,0,0,0
"144","OSPR-01","T18",33.3,"outer_slope","wall",0.15555305184167,0,0.0501546153641876,0,0
"145","OSPR-01","T18",57.2,"outer_slope","steep_slope",0,0,0,0,0
"146","OSPR-01","T19",28.2,"outer_slope","wall",0.163171231175488,1.48979131635871,0,1.63125548669272,1.70902473118079
"147","OSPR-01","T19",53.2,"outer_slope","steep_slope",0,2.4938879506975,0,0,0
"148","OSPR-01","T2",85.1,"outer_slope","steep_slope",0,0,0,0,0
"149","OSPR-01","T2",98.8,"outer_slope","wall",0,0,0,0,0
"150","OSPR-01","T20",25.1,"outer_slope","steep_slope",0,0,0,0,0
"151","OSPR-01","T20",64.6,"outer_slope","steep_slope",0,0,0,0,0
"152","OSPR-01","T21",21.8,"outer_slope","steep_slope",1.06476358615162,1.39271952739023,0.0529049725325839,0.332422892609202,0.2612479303808
"153","OSPR-01","T21",52.8,"outer_slope","steep_slope",0.00882166086984377,0,0,4.13873279062148,0
"154","OSPR-01","T22",18.8,"outer_slope","wall",1.06475051502323,0,0,0,0.589767026026416
"155","OSPR-01","T22",47.8,"outer_slope","moderate_slope",0.550137365773551,0,0.233584203527831,0,0
"156","OSPR-01","T23",16.4,"outer_slope","wall",0.181724020365905,0,0,2.01720574458813,0.170076603874925
"157","OSPR-01","T23",44.7,"outer_slope","moderate_slope",0,0,0,0,0
"158","OSPR-01","T24",14.1,"outer_slope","wall",0.343888788103219,0,0.816280381861542,0,0
"159","OSPR-01","T24",41.2,"outer_slope","wall",0.0481521478934961,0,0,0,0
